parameter,effect,median,ci_low,ci_high
mu_a,Factual truth,-0.10517000000000021,-0.20689125000000044,-0.009759749999999994
mu_a,Interaction,0.02058749999999976,-0.12111637499999982,0.15680075000000004
mu_a,Repetition status,0.10888999999999971,-0.026684249999999805,0.24707224999999988
mu_bias,Factual truth,-0.018846249999999898,-0.03804302499999994,3.566875000000119e-4
mu_bias,Interaction,-0.023669499999999954,-0.05007081249999991,0.0035270625000000575
mu_bias,Repetition status,0.03670224999999999,0.008576237500000009,0.06437182499999987
mu_ndt,Factual truth,0.25126000000000004,0.15198475000000025,0.35571087499999987
mu_ndt,Interaction,-0.012114999999999987,-0.1550315,0.12562100000000026
mu_ndt,Repetition status,-0.45340749999999996,-0.5929754999999998,-0.317870125
mu_v,Factual truth,-0.1551267275,-0.20314679125000001,-0.10856240375000002
mu_v,Interaction,0.02884233750000001,-0.04418292924999999,0.10334770662499995
mu_v,Repetition status,0.2826242675,0.21010925612499998,0.35726182624999997
