parameter,effect,median,ci_low,ci_high,p_post,bf
mu_a,Factual truth,0.04,-0.07,0.16,4.99,0.03
mu_a,Interaction,-0.07,-0.19,0.04,3.22,0.04
mu_a,Repetition status,0.01,-0.11,0.12,6.62,0.02
mu_bias,Factual truth,-0.01,-0.18,0.15,4.73,0.17
mu_bias,Interaction,0.05,-0.11,0.22,3.85,0.21
mu_bias,Repetition status,0.15,-0.02,0.31,1.03,0.77
transf_mu_a,Factual truth,0.04,-0.06,0.14,5.69,NA
transf_mu_a,Interaction,-0.06,-0.16,0.04,3.67,NA
transf_mu_a,Repetition status,0.01,-0.09,0.11,7.56,NA
transf_mu_bias,Factual truth,-0,-0.04,0.04,19.11,NA
transf_mu_bias,Interaction,0.01,-0.03,0.05,15.56,NA
transf_mu_bias,Repetition status,0.04,-0,0.08,4.24,NA
transf_mu_ndt,Factual truth,-0,-0.12,0.11,6.74,0.03
transf_mu_ndt,Interaction,0.05,-0.06,0.16,4.73,0.04
transf_mu_ndt,Repetition status,-0.14,-0.25,-0.03,0.28,0.72
transf_mu_v,Factual truth,-0.07,-0.17,0.03,3.08,0.06
transf_mu_v,Interaction,-0.07,-0.17,0.04,3.35,0.06
transf_mu_v,Repetition status,0.08,-0.02,0.18,2.57,0.08
